"vertex.id","agency","appropriation","ext_revenue","onset","terminus"
"93","Department of Human Services",4280311,158013,2014-07-01,2015-06-30
"94","Department of Immigration and Border Protection",2711231,174999,2017-07-01,2018-06-30
"94","Department of Immigration and Border Protection",2673949,150614,2016-07-01,2017-06-30
"94","Department of Immigration and Border Protection",2797171,154807,2015-07-01,2016-06-30
"94","Department of Immigration and Border Protection",1506650,60807,2014-07-01,2015-06-30
"95","Department of Industry",547318,53827,2014-07-01,2015-06-30
"96","Department of Industry and Science",460608,56276,2015-07-01,2016-06-30
"97","Department of Industry, Innovation and Science",424325,75796,2019-07-01,2020-06-30
"97","Department of Industry, Innovation and Science",418407,66110,2018-07-01,2019-06-30
"97","Department of Industry, Innovation and Science",413199,78632,2017-07-01,2018-06-30
"97","Department of Industry, Innovation and Science",425715,62862,2016-07-01,2017-06-30
"98","Department of Infrastructure and Regional Development",291310,6615,2017-07-01,2018-06-30
"98","Department of Infrastructure and Regional Development",277258,6931,2016-07-01,2017-06-30
"98","Department of Infrastructure and Regional Development",246551,10676,2015-07-01,2016-06-30
"98","Department of Infrastructure and Regional Development",269547,9112,2014-07-01,2015-06-30
"99","Department of Infrastructure, Regional Development and Cities",211371,3386,2018-07-01,2019-06-30
